Season,Pop,Pool,Sibship,Temp,Sib_ID,Fem_num,Fem_ID,LT50_date,Date_sampled,Date_diss_im,Egg_count,Total_length,LT50,Q10,Adj_egg_count,Lag
Feb,BMR,BMR6,BMR6_A2B,21.55,BMR6_A2B_H,2,BMR6_A2B_H2,9/6/22,9/9/22,5/11/23,19,1146.66,,,,3
Feb,RMR,RMR4,RMR4_C1,21.55,RMR4_C1_H,1,RMR4_C1_H1,9/1/22,9/9/22,5/11/23,17,1433.506,,,,8
Feb,RMR,RMR4,RMR4_C1,21.55,RMR4_C1_H,2,RMR4_C1_H2,9/1/22,9/9/22,5/11/23,22,1063.111,,,,8
Feb,RMR,RMR4,RMR4_C1,21.55,RMR4_C1_H,3,RMR4_C1_H3,9/1/22,9/9/22,5/11/23,15,1118.165,,,,8
Feb,BMR,BMR1,BMR1_B2,21.55,BMR1_B2_H,3,BMR1_B2_H3,9/11/22,9/11/22,5/15/23,6,1381.009,,,,0
Feb,BMR,BMR6,BMR6_A1B,21.55,BMR6_A1B_H,1,BMR6_A1B_H1,9/11/22,9/11/22,5/15/23,23,1246.851,,,,0
Feb,BMR,BMR6,BMR6_A1B,21.55,BMR6_A1B_H,2,BMR6_A1B_H2,9/11/22,9/11/22,5/15/23,25,1140.801,,,,0
Feb,BMR,BMR6,BMR6_A1B,21.55,BMR6_A1B_H,3,BMR6_A1B_H3,9/11/22,9/11/22,5/15/23,28,1248.887,,,,0
Feb,RMR,RMR4,RMR4_B2,16.42,RMR4_B2_L,1,RMR4_B2_L1,9/11/22,9/11/22,5/15/23,47,984.133,,,,0
Feb,RMR,RMR4,RMR4_B2,16.42,RMR4_B2_L,2,RMR4_B2_L2,9/11/22,9/11/22,5/15/23,52,1124.324,,,,0
Feb,RMR,RMR4,RMR4_B2,16.42,RMR4_B2_L,3,RMR4_B2_L3,9/11/22,9/11/22,5/15/23,46,1153.34,,,,0
Feb,SC,SC1,SC1_B4,16.42,SC1_B4_L,2,SC1_B4_L2,9/8/22,9/11/22,5/15/23,11,1025.597,,,,3
Feb,PTD,PTD2,PTD2_A1B,21.55,PTD2_A1B_H,1,PTD2_A1B_H1,9/12/22,9/12/22,5/15/23,17,1084.416,,,,0
