"Survival","Sex","Temp","Sib_ID"
1,"U","34","BMR6-C2BL"
0,"U","34.8","BMR6-C2BL"
1,"U","35.3","BMR6-C2BL"
1,"U","36.2","BMR6-C2BL"
1,"U","36.2","BMR6-C2BL"
1,"U","36.5","BMR6-C2BL"
0,"U","37","BMR6-C2BL"
0,"U","37","BMR6-C2BL"
0,"U","36.2","BMR1-B2L"
1,"U","34","BMR6-B1BL"
0,"U","34.8","BMR6-B1BL"
0,"U","34.5","BMR4-A3H"
1,"U","35.3","BMR4-A3H"
1,"U","35.8","BMR4-A3H"
1,"U","36.5","BMR4-A3H"
0,"U","36.5","BMR4-A3H"
1,"U","36.2","BMR4-A3L"
1,"U","36.5","BMR4-A3L"
1,"F","35","SC3-A3H"
1,"F","35.5","SC3-A3H"
1,"F","35.8","SC3-A3H"
0,"F","36.3","SC3-A3H"
0,"F","36.3","SC3-A3H"
0,"F","37.2","SC3-A3H"
0,"F","37.5","SC3-A3H"
0,"F","36.8","SC3-B1H"
1,"F","35","SC3-C1H"
1,"F","35.5","SC3-C1H"
1,"F","35.8","SC3-C1H"
1,"F","35.8","SC3-C1H"
1,"F","36.3","SC3-C1H"
0,"F","36.8","SC3-C1H"
0,"F","37.2","SC3-C1H"
0,"F","37.5","SC3-C1H"
0,"F","37.5","SC3-C1H"
0,"F","38","SC3-C1H"
0,"F","38","SC3-C1H"
1,"F","35","SC3-C3H"
0,"F","35","SC3-C3H"
0,"F","35","SC3-C3H"
1,"F","35.5","SC3-C3H"
1,"F","35.5","SC3-C3H"
0,"F","35.8","SC3-C3H"
0,"F","36.3","SC3-C3H"
0,"F","36.3","SC3-C3H"
0,"F","36.8","SC3-C3H"
0,"F","37.2","SC3-C3H"
0,"F","37.2","SC3-C3H"
0,"F","37.2","SC3-C3H"
0,"F","37.5","SC3-C3H"
0,"F","38","SC3-C3H"
1,"F","35","SC4-A1H"
1,"F","35.5","SC4-A1H"
1,"F","35.8","SC4-A1H"
0,"F","36.8","SC4-A1H"
0,"F","37.2","SC4-A1H"
0,"F","37.5","SC4-A1H"
1,"F","35","SC4-A2H"
1,"F","35","SC4-A2H"
1,"F","35.8","SC4-A2H"
1,"F","35.8","SC4-A2H"
1,"F","36.3","SC4-A2H"
0,"F","37.2","SC4-A2H"
0,"F","37.2","SC4-A2H"
0,"F","37.5","SC4-A2H"
0,"F","38","SC4-A2H"
1,"F","35","SC3-C1L"
1,"F","35.5","SC3-C1L"
0,"F","35.8","SC3-C1L"
1,"F","36.3","SC3-C1L"
0,"F","36.8","SC3-C1L"
0,"F","36.8","SC3-C1L"
0,"F","37.2","SC3-C1L"
0,"F","37.2","SC3-C1L"
0,"F","37.5","SC3-C1L"
0,"F","38","SC3-C1L"
0,"F","38","SC3-C1L"
0,"F","35.5","SC4-A2L"
0,"F","37.2","SC4-A2L"
0,"F","37.5","SC4-A2L"
0,"F","38","SC4-A2L"
1,"F","35","SC3-B1L"
1,"F","35.5","SC3-B1L"
1,"F","35.5","SC3-B1L"
0,"F","35.8","SC3-B1L"
0,"F","35.8","SC3-B1L"
0,"F","36.3","SC3-B1L"
1,"F","36.8","SC3-B1L"
0,"F","37.5","SC3-B1L"
0,"F","38","SC3-B1L"
0,"F","38","SC3-B1L"
0,"F","35.8","SC3-A3L"
0,"F","36.8","SC3-A3L"
0,"F","36.8","SC3-A3L"
0,"F","37.2","SC3-A3L"
0,"F","37.5","SC3-A3L"
0,"F","38","SC3-A3L"
1,"F","35","SC4-A1L"
1,"F","35","SC4-A1L"
